Tipo de resolución|Año de resolución|Referencia|Fecha de resolución|Tipología|Problema jurídico|Ratio decidendi|Decisión|Deber ético (Art. 5 LEG)|Prohibición ética (Art. 6 LEG)
Anormal|2013|54-D-13|29/07/2013|Falta de correspondencia entre los hechos planteados y las prohibiciones o deberes éticos|¿Es competencia del Tribunal de Ética Gubernamental conocer sobre la actuación de abogados en el libre ejercicio de la profesión?|"... el denunciante señala que ha sido demandado en el Juzgado de lo Civil y Mercantil de Quezaltepeque, departamento de La Libertad, por una obligación derivada de una promesa de venta. 

Explica que el señor Mario Satiel Nativi, abogado y notario, presentó la demanda sin haber investigado si el documento se había extinguido, que no subsanó correctamente una prevención y que utiliza su nombre de manera inversa. 

...

...los hechos planteados por el señor Mejía Cañas no trascienden al ámbito de la ética pública puesto que denuncia a dos abogados particulares en el ejercicio libre de la profesión.

Al respecto, se aclara que la competencia subjetiva que otorga la LEG a esta sede se limita al conocimiento de las conductas de los servidores públicosen el desempeño de su función pública. 

En ese sentido, tales hechos se encuentran fuera de la competencia de este Tribunal y por tanto, la denuncia adolece de un error de fondo insubsanable que impide continuar con el trámite de ley correspondiente"|Improcedente||
Definitiva|2013|106-TEG-2011|31/07/2013|Ejecución de procesos|¿Es un retardo injustificado que un trámite ante el Tribunal Sancionador del Consumidor sea de 100 días?|"En primer lugar, el once de abril de dos mil once el señor Juan José Zaldaña Linares renunció a su cargo como miembro propietario del Tribunal Sancionador de la Defensoría del Consumidor y fue hasta el día veintiséis de esos mismos mes y año que se convocó al respectivo miembro suplente.
...
Por otro lado, el referido Tribunal afrontó una carga laboral de mil ochocientos casos los cuales estaban asignados a sólo cinco colaboradores, circunstancia que evidentemente constituyó un obstáculo para resolver con la debida celeridad."|No sanciona||i
Anormal|2013|53-A-13|13/08/2013|Materia de empleo público|¿Conocer de las situaciones laborales  y disciplinarias que en las instituciones públicas se susciten se encuentran bajo la competencia del Tribunal de Ética Gubernamental?|"El informante manifiesta que “denuncia” a los señores Rodil Fernando Hernández, Director General; Manuel de Jesús Sánchez, Sub Director de Asuntos Jurídicos; Hugo Armando Arévalo Merino, de la Unidad de Planificación; Víctor Vladimir Guardado Campos, encargado del Fondo de Actividades Especiales; Anilber Eduviges Rodríguez, Inspector General; José Alberto López Villeda, Director del Centro Penal de Usulután; e Ingrid Aleyda Monge, Técnico de la Unidad de Registro y Control, todos de la Dirección General de Centros Penales.

A los referidos servidores les atribuye el hecho de cambiar plazas que eran remuneradas con fondos GOES, a partir del uno de enero de dos mil once, y designar plazas de técnicos II, colaboradores jurídicos y colaboradores administrativos que son pagadas con Fondos de Actividades Especiales de esa Dirección, que son generados por prestación de servicios lo cual les afecta en sus derechos laborales; pues no tienen aumentos ni otras prestaciones.

Afirma que obligaron a los empleados a firmar sus renuncias y tomar posesión de las nuevas plazas, sin haberles dado ninguna indemnización.

Adicionalmente, señala que “desde ese entonces” se ha generado inestabilidad y acosos laborales por parte de los superiores jerárquicos porque se han instalado cámaras de vigilancia; además, les imponen metas de trabajo a cumplir en las diferentes funciones que desempeñan, les prohíben la libertad de expresión y las reuniones de grupo, y a algunos empleados les han seguido procedimientos disciplinarios en los que no han tomado en cuenta las pruebas de inocencia y los han trasladado a centros penitenciarios.

...

...las conductas atribuidas a los señores Rodil Fernando Hernández, Manuel de Jesús Sánchez, Hugo Armando Arévalo Merino, Víctor Vladimir Guardado Campos, Anilber Eduviges Rodríguez, José Alberto López Villeda e Ingrid Aleyda Monge, son atípicas con relación a los deberes y prohibiciones contemplados en los artículos 5, 6 y 7 de la LEG, los cuales constituyen el marco de actuación de este Tribunal; pues se trata más bien de situaciones meramente laborales y disciplinarias que deben ser atendidas por medio de los mecanismos y las instancias que hay para esos propósitos.

En efecto, de existir medidas que atentan contra los derechos laborales de ciertos servidores de la Dirección General de Centros Penales éstas deberán ser controladas mediante las vías legales correspondientes; dirigiendo las respectivas reclamaciones contra los funcionarios directamente responsables de dichas acciones."|Improcedente||
Definitiva|2013|164-TEG-2012|14/08/2013|Ejecución de procesos|¿Deben valorarse todas las incidencias en las etapas previas del procedimiento para establecer si el retraso es injustificado?|"Generalmente la ley regula un plazo para el trámite, procedimiento o servicio administrativo; no obstante, cuando no existe un parámetro normativo-temporal, procede la aplicación del criterio del ""plazo razonable"".
…
De esta forma la ley confiere al Tribunal del Servicio Civil un plazo de tres días hábiles contados a partir del siguiente al del vencimiento del término probatorio para que emita la resolución definitiva; no obstante, para el resto de etapas el legislador no estableció un término para resolver.
Sin perjuicio de lo anterior, la prueba producida durante el curso del procedimiento evidencia de forma contundente que desde la presentación de la demanda los servidores públicos denunciados pronunciaron una serie de resoluciones que impulsaron el trámite de la misma a pesar de circunstancias particulares que ocurrieron durante el informativo: Prevención al apoderado del demandante, renuncia del mismo, intervención de un nuevo representante, contestación extemporánea de la demanda, repuesta tardía de la Comisión del Servicio Civil...
Ahora bien, este Tribunal advierte que el término probatorio de dicho procedimiento venció el día diecinueve de marzo del corriente año, por lo que a tenor de lo dispuesto en la Ley de Servicio Civil la relación definitiva debió notificarse a más tardar el dos de abril, pero ello ocurrió hasta el día nueve, es decir, cinco días hábiles después.
Pese a lo anterior, se ha acreditado que la carga laboral que afronta el Tribunal de Servicio Civil no es proporcional al número de personas encargadas de la tramitación de casos, circunstancia que evidentemente constituyó un obstáculo para resolver con la debida celeridad.
Adicionalmente, el retardo en que incurrieron los denunciantes no fue sustancialmente excesivo al tratarse únicamente de cinco días hábiles.
...
En ese sentido, no se comprobó que los presuntos infractores hayan diferido, detenido, entorpecido o dilatado el procedimiento de forma deliberada."|No sanciona||i
Anormal|2013|20-A-13|21/08/2013|Presupuesto público|¿Se estableció las inasistencias a una oficina pública para atender actividades privadas?|"Mediante el informe aportado, el citado funcionario expresa que las señoras Rosalina Garcilazo, representante de la Dirección Nacional de Asesoría Jurídica de Ministerio de Educación, y Silvia Noemí Sánchez Cortez, Enlace de la Oficina de Información y Respuesta de la Dirección Departamental de Ahuachapán, realizaron una visita al Centro Escolar “Francisco Gavidia” el ocho de julio de este año.

Señala además que el Director del referido centro educativo explicó que el día dieciocho de enero del corriente año se trabajó con normalidad en ambas jornadas (matutina y vespertina) dentro de las instalaciones de la escuela y, por tanto, los hechos descritos en el aviso son falsos.

Finalmente, se anexa la copia certificada del libro de asistencia diaria de personal docente y administrativo del citado centro escolar del día en cuestión y una constancia de los contadores contratados por la institución sobre la transparencia en la administración de los fondos, entre otra documentación.

...

...del informe recibido puede afirmarse que no se han robustecido los indicios de una posible transgresión al deber ético de “utilizar los bienes, fondos, recursos públicos o servicios contratados únicamente para el cumplimiento de los fines institucionales para los cuales están destinados, regulado en el artículo 5 letra a) de la LEG, por parte del Director y el Subdirector del Centro Escolar “Francisco Gavidia”, al no haberse aportado nuevos elementos que confirmen las aseveraciones efectuadas por el informante anónimo en el aviso de mérito."|Sin lugar a la apertura del procedimiento||
Anormal|2013|30-D-13|26/08/2013|Falta de precisión en los hechos|¿Basta con la presentación de un escrito por medio del cual se pretende subsanar una prevención realizada para que se tenga por evacuada y por tanto admitida la denuncia o aviso?|"el señor Solórzano Hernández, pese a haber presentado en tiempo su escrito, no expone el grado de parentesco que vincularía al señor Florentín Meléndez Padilla con alguno de los accionistas de la sociedad “O & M Mantenimiento y Servicios S.A. de C.V.”, requisito indispensable para realizar un análisis de fondo de la denuncia y así determinar si los hechos tienen trascendencia ética, de acuerdo a la competencia que el legislador ha conferido a este Tribunal.

Así, el escrito presentado no incorpora los elementos de juicio necesarios para poder admitir la denuncia, pues no suple las deficiencias que oportunamente fueron señaladas."|Inadmisible||
Anormal|2013|146-D-12|26/08/2013|Ejecución de procesos|¿constituye una conducta tipificada en la LEG la omisión en la presentación del requerimiento fiscal o el inicio de la acción penal por parte de la FGR?|"...el veintisiete de octubre de dos mil diez interpuso denuncia contra el señor Boris Ernesto Martínez Medina por el delito de acoso sexual, con referencia 1132-UMM-2010, el cual fue asignado a la señora Vilma Leonor Guardado y cinco meses después, aún no se había ejercido la acción penal. 

Señala que el veintiséis de mayo de dos mil once fue citada por la señora Guardado, quien le leyó un acta e hizo de su conocimiento que desde el ocho de abril del mismo año se había ordenado la reserva total del caso por órdenes expresas de su superior.

Indica que, luego de haber presentado múltiples escritos, el veintiséis de octubre de dos mil doce se ordenó la reapertura del proceso y finalmente el veintinueve de mayo de dos mil trece fue citada nuevamente por la señora Guardado, quien le comunicó que su caso se archivaría, sin darle copia de ningún documento, ni permitirle revisar el expediente. 

...

Sobre el particular, el artículo 17 del Código Procesal Penal establece que el fiscal debe presentar el requerimiento respectivo o archivar las diligencias en un plazo de cuatro meses posteriores a la presentación de la denuncia, aviso o querella, o de veinticuatro meses si se trata de delitos de crimen organizado.
Ahora bien, la citada disposición también establece un mecanismo de control de plazos que opera al seno de la institución fiscal, en virtud del cual, transcurrido el término correspondiente la víctima puede requerirle al fiscal que se pronuncie en un lapso de cinco de días. Si el fiscal no responde, el interesado puede acudir al fiscal superior para que le ordene a aquél que se pronuncie dentro de tres días, so pena de aplicar el régimen disciplinario que establece la Ley Orgánica de la Fiscalía General de la República.
Adicionalmente, cuando el requerimiento no ha sido presentado debido a la complejidad de la investigación o a la necesidad de practicar otras diligencias de utilidad a petición del interesado el fiscal superior puede fijar un plazo máximo de tres meses para la presentación del requerimiento o el archivo de las diligencias.

En todo caso, el Código prevé la conversión de la acción penal de pleno derecho cuando el funcionario competente no se pronuncie dentro de los plazos indicados. 

De esta forma, la víctima puede plantear en la misma Fiscalía su inconformidad con el tiempo de respuesta y si a pesar de ello el retardo subsiste la ley la faculta a ejercer la acción penal por sus propios medios.

Esto significa que por disposición del legislador los retardos que se producen en sede fiscal deben ser verificados al interior de la misma institución, lo cual excluye la posibilidad que sea este Tribunal quien fiscalice el cumplimiento de los plazos al tratarse de un tema propio de la esfera penal.

"|Improcedente||
Anormal|2013|158-TEG-2011|04/09/2013|Materia de empleo público|¿Conocer de las situaciones laborales  y disciplinarias que en las instituciones públicas se susciten se encuentran bajo la competencia del Tribunal de Ética Gubernamental?|"La denuncia se dirige contra la doctora Guisela Beatriz Castaneda, Coordinadora de Equipos Comunitarios de Salud Familiar (ECOSF) de San Pablo Tacachico, departamento de La Libertad; y el doctor Rodolfo Antonio Peñate, Gerente de Región de Salud Central, a quienes se atribuye la participación en un traslado injustificado de la denunciante, con el que ésta afirma le violaron sus derechos como mujer y trabajadora y la afectaron en su integridad física y moral.

Por tal circunstancia, la denunciante solicita que se investigue el hecho en cuestión a fin que disminuyan ese tipo de actitudes.

También indica que “según documentos anexos” existe “maltrato al paciente” por las enfermeras Estebana García, Elsi Trejo y Rosario Leonor Barillas.    

...

...este Tribunal repara que las situaciones atribuidas a los doctores Guisela Beatriz Castaneda y Rodolfo Antonio Peñate constituyen inconformidades relativas a un supuesto traslado, así como desavenencias laborales por las que la denunciante estima se le violaron ciertos derechos; sin embargo tales aspectos no son competencia de esta autoridad administrativa, pues pertenece al orden disciplinario interno. 

Esta misma consideración es predicable del supuesto maltrato a los pacientes que la denunciante atribuye a las enfermeras Estebana García, Elsi Trejo y Rosario Leonor Barrillas, pues el mismo tampoco forma parte del ámbito de competencia de este Tribunal; por el contrario, estas irregularidades deben ser corregidas al seno de las instituciones correspondientes.
"|Improcedente||
Anormal|2013|35-D-13|06/09/2013|Materia de empleo público|¿El traslado de un funcionario dentro de una institución, que se realiza sin un nombramiento formal constituye una conducta tipificada en la LEG?|"...el veintinueve de abril del corriente año, tanto el Gerente de Evaluación como la señora Hernández de Larios le comunicaron que a partir de ese día debía presentarse a trabajar bajo la orden del señor Roberto Avelar, Gerente de Cumplimiento.

Señala que solicitó a la señora Hernández de Larios que legalizara su traslado; sin embargo, ella le expresó que la Unidad de Atención al Usuario continuaba bajo su responsabilidad y que el traslado se consideraba como misión oficial. 

Pese a lo anterior, el diecisiete de mayo de este año recibió un memorandum en el que se solicita la colaboración de la jefe de Recursos Humanos para iniciar las acciones pertinentes a fin de trasladarla o removerla de su cargo.

...

...la denunciante manifiesta su descontento con la falta de formalidad por parte de las autoridades del MARN en comunicarle su traslado.

Ahora bien, los traslados de servidores públicos dentro de una misma institución es un tema de administración interna sobre el cual el titular posee discrecionalidad; es decir, que puede adoptar decisiones atendiendo a las necesidades de la institución.

"|Improcedente||
Anormal|2013|43-D-13|09/09/2013|Ejecución de procesos|¿Constituye una conducta tipificada en la LEG la inconformidad de un acto administrado respecto al trato recibido por un funcionario municipal?|" El denunciante manifiesta que el tres de junio de este año en horas de la mañana se apersonó al Distrito 2 de la Alcaldía Municipal de San Salvador para asentar una partida de defunción; sin embargo, al presentar los documentos que en el Registro del Estado Familiar requieren para el asentamiento, la persona que se encuentra en atención del mismo le dijo que los documentos que estaba presentando eran copias y no podían recibírselas. 

Ante esa situación, él manifestó que la boleta y el registro de defunción no eran copias, pues tenían sellos y firmas originales, pero la persona que lo atendió insistió en que eran una reproducción y le regresó abruptamente los documentos, diciéndole que fuera a traer los originales; por ello, solicitó que llamaran al Gerente del Distrito, pero hicieron caso omiso.

...

...los hechos atribuidos al personal de atención del Registro del Estado Familiar del Distrito 2 de la Alcaldía Municipal de San Salvador, aún y cuando podrían catalogarse como incorrectos y socialmente reprochables, son atípicos con relación a los deberes y prohibiciones contemplados en los artículos 5, 6 y 7 de la LEG, los cuales constituyen el marco de actuación de este Tribunal; pues reflejan la inconformidad del señor Viera López con el trato recibido por parte del referido personal."|Improcedente||
Definitiva|2013|90-TEG-2011|16/09/2013|Ejecución de procesos|¿Es injustificado el retraso de apertura de prueba en 146 días en un proceso de destitución seguido ante una comisión del servicio civil?|"De conformidad con los artículos 12 y 55 letras a) al d) de la Ley del Servicio Civil, la Comisión del Servicio Civil es el organismo encargado de tramitar en primera instancia el procedimiento de despido o destitución.
Ahora bien, la ley no establece un plazo para que la Comisión resuelva las peticiones formuladas por los intervinientes dentro del término de prueba del procedimiento; esto significa que no existe un parámetro normativo- temporal para tal efecto.
Bajo este contexto, la petición formulada por el denunciante el día cuatro de mayo de dos mil once fue resuelta por la Comisión de Servicio Civil del Ministerio de Economía hasta el veintisiete de septiembre de dos mil once, es decir que fue resuelta en el período de ciento cuarenta y seis días; pese a ello, se ha comprobado que ocurrieron una serie de situaciones que justificaron la dilación en el emisión de la referida resolución.
...
...parte de los meses de julio y agosto de dos mil once la Comisión de Servicio Civil del Ministerio de Economía se encontró inhibida legalmente para dar impulso a los procedimientos pendientes.
Por otra parte, se ha acreditado que entre la fecha en que fue presentada la petición del señor ** por medio de su representante y la fecha en que la misma fue resuelta, se produjo la sustitución material de una de las partes, específicamente del Superintendente de Obligaciones Mercantiles que promovió la destitución del denunciante, además de diversas peticiones de los intervinientes."|No sanciona||i
Anormal|2013|36-D-13|18/09/2013|Materia de empleo público|¿Constituye una infracción ética la realización de descuentos salariales aplicados violando la Ley de Asuetos, Vacaciones y Licencias de los Empleados Públicos?  |"...la licenciada de Revelo ha infringido el art. 6 de la Ley de Asuetos, Vacaciones y Licencias de los Empleados Públicos al realizar descuentos de incapacidades médicas emitidas por el Instituto Salvadoreño del Seguro Social (ISSS).

…

En el anterior sentido, la situación planteada en la denuncia es de índole estrictamente laboral y no refleja un acto u omisión contraria a los deberes y prohibiciones éticos de los arts. 5, 6 y 7 de la LEG, a cuyo conocimiento se encuentra limitado este Tribunal.

Efectivamente, más que un tema ético se trata de una inconformidad de la denunciante con los descuentos salariales que se le han aplicado, lo cual no puede ser fiscalizado por este Tribunal.
"|Improcedente||
Anormal|2013|51-D-13|18/09/2013|Legalidad del contenido de los actos|¿Constituyen una infracción tipificada en la LEG las irregularidades con relación al trámite y autorización de líneas de microbús realizado por el Viceministerio de Transporte y las Direcciones Generales de Transporte Terrestre y Tránsito?|"...la señora Aguilar Rivas plantea irregularidades en las resoluciones que le han sido notificadas con relación al trámite de remarcación y autorización de línea de un microbús de su propiedad y alega la vulneración de sus derechos; sin embargo, tales situaciones son atípicas con relación a los deberes y prohibiciones contemplados en los artículos 5, 6 y 7 de la LEG, los cuales constituyen el marco de actuación de este Tribunal. 

No obstante, se aclara a la denunciante que tiene expedito el ejercicio de las acciones legales correspondientes sobre las irregularidades que estime le causen agravio, las cuales no pueden ser fiscalizadas por este Tribunal. "|Improcedente||
Anormal|2013|41-A-12|18/09/2013|Presupuesto público|¿Es una infracción ética no presentarse a trabajar y no justificar la ausencia?|"A sus antecedentes el oficio de la señora Josefa Noemí Rodríguez Servellón, Directora Departamental de Educación de Cuscatlán, presentado el veintiocho de agosto del corriente año, con la documentación que adjunta, mediante el cual informa que el señor Jaime Oswaldo Morales Zamora estuvo nombrado en el Centro Escolar Saúl Urquilla del municipio de Oratorio de Concepción, departamento de Cuscatlán, desde el uno de julio de mil novecientos noventa hasta el quince de marzo de dos mil doce y que a partir del dieciséis de marzo de ese mismo año fue trasladado Complejo Educativo Pío Romero Bosque.

Adicionalmente, indica que el referido maestro tramitó licencia con goce de sueldo desde el nueve de enero hasta el once de marzo de dos mil doce, por ser Miembro Propietario de la Junta Electoral Municipal de Oratorio de Concepción; por tanto, se le hicieron efectivos sus salarios correspondientes a esos meses.

Por su parte, la señora Tania Karerina Jiménez Morales, Jefe del Departamento de Personal del Tribunal Supremo Electoral, en su oficio recibido el veintidós de abril de este mismo año expresó que, según la base de datos de esa institución, el señor Jaime Oswaldo Morales laboró desde el seis de enero hasta el treinta uno de marzo de dos mil doce como Segundo Vocal Propietario de la Junta Electoral Municipal de Oratorio de Concepción, departamento de Cuscatlán.

Al respecto, el artículo 33 inciso 4° de la Ley de Ética Gubernamental, en lo sucesivo LEG, establece que recibido el informe correspondiente el Tribunal resolverá si continúa el procedimiento o si archiva las diligencias.

...

...en la normativa aplicable existe una habilitación expresa para que a los miembros de las Juntas Electorales Municipales se les conceda licencia con goce de sueldo durante el tiempo en el que desempeñen su función electoral.

En consecuencia, no se han robustecido los indicios de una vulneración a las prohibiciones éticas de “Percibir más de una remuneración proveniente del presupuesto del Estado, cuando las labores deban ejercerse en el mismo horario, excepto las que expresamente permita el ordenamiento jurídico” y “Desempeñar simultáneamente dos o más cargos o empleos en el sector público que fueren incompatibles entre sí por prohibición expresa de la normativa aplicable, por coincidir en las horas de trabajo o porque vaya en contra de los intereses institucionales”, contenidas en el artículo 6 letras c) y d) de la LEG.

"|Sin lugar a la apertura del procedimiento||
Anormal|2013|9-O-13|18/09/2013|Personas sujetas a la LEG|¿Puede continuarse la tramitación del proceso ante la pérdida de la calidad de funcionario público del denunciado?|"De conformidad con los artículos 33 inciso 4° de la Ley de Ética Gubernamental, en lo sucesivo LEG, 83 inciso final y 84 inciso 1º de su Reglamento, recibido el informe correspondiente, el Tribunal resolverá si continúa el procedimiento o si archiva las diligencias.

En el caso particular, al analizar el informe relacionado y su documentación anexa, este Tribunal advierte que en virtud del citado acuerdo legislativo emitido el once de septiembre de dos mil doce, y no en la fecha que se menciona en el informe aludido, el señor Rodrigo Samayoa Rivas fue suspendido en el ejercicio de sus funciones como Diputado, y a partir de esa misma fecha no tiene ninguna relación contractual con la Asamblea Legislativa. 

 En consecuencia, con base en los datos aportados se concluye que se han desvirtuado los indicios apreciados inicialmente de posibles infracciones al deber ético de utilizar adecuadamente los recursos del Estado, así como a la prohibición ética de realizar actividades privadas durante la jornada ordinaria de trabajo, reguladas en los artículos 5 letra a) y 6 letra e) de la LEG; atribuidas al señor Rodrigo Samayoa Rivas; de manera que no existen motivos para continuar con el trámite de ley correspondiente.
"|Sin lugar a la apertura del procedimiento||
Anormal|2013|52-D-13|18/09/2013|Legalidad del contenido de los actos|¿Se encuentra bajo la competencia del Tribunal de Ética Gubernamental revisar las irregularidades con relación al trámite y autorización de líneas de buses realizado por el Viceministerio de Transporte y las Direcciones Generales de Transporte Terrestre y Tránsito?|"...el día veintiocho de octubre de dos mil ocho compró un bus y solicitó que se le asignara una ruta por parte del Viceministerio de Transporte la cual le fue autorizada en mayo de dos mil nueve mediante resolución número 12258-MODICOLINEAD.G.T.T.-2009; no obstante, cuando realizó los trámites de placas “AB”, permiso de línea y tarjeta de circulación le informaron en Sertracen que el Viceministerio de Transporte había bloqueado “vía sistema” su resolución, aduciendo que la anularían pues la ley establece que sólo por licitación se puede obtener una línea.

Afirma que lo anterior es falso “ya que hay mucha (sic) unidades de buses y microbuses a nivel nacional que fueron adquiridas de la misma manera y le otorgaron sus permisos, tarjetas y placas MB y AB (…)”.

Adicionalmente, señala que luego acudió al Viceministerio de Transporte a tramitar la revalidación de la resolución y seis meses después le dieron la resolución número “466025-MODICONRU- Dirección General de Transporte Terrestre2010” firmada y sellada por el señor Luis Alonso Escamilla, Director General de Transporte Terrestre, denegando su petición.

...la señora Valle García plantea irregularidades en las resoluciones que le han sido notificadas con relación a los trámites de autorización de línea de un bus de su propiedad y alega la vulneración de sus derechos; sin embargo, tales situaciones son atípicas con relación a los deberes y prohibiciones regulados en la LEG; es decir, que las situaciones narradas no se adecúan a las conductas tipificadas en los artículos 5, 6 y 7 de la misma normativa, los cuales constituyen el marco de actuación de este Tribunal. 

No obstante, se aclara a la denunciante que tiene expedito el ejercicio de las acciones legales correspondientes sobre las irregularidades que estime le causen agravio, las cuales no pueden ser fiscalizadas por este Tribunal. "|Improcedente||
Anormal|2013|55-D-13|19/09/2013|Uso de bienes y servicios públicos|¿Se encuentra bajo la competencia del Tribunal de Ética Gubernamental  conocer de hechos sucedidos con anterioridad a ostentar un cargo público?|"...al señor Sánchez Trejo se le atribuye el uso de bienes institucionales y de personal de la CCR durante el período de “acefalía” de la misma, así como haberse atribuido facultades que no le correspondían.

En ese sentido, corresponde realizar un análisis sobre el ámbito de aplicación de la LEG y el período en el cual sucedieron los hechos que se imputan al denunciado.

El artículo 2 de la LEG establece que la misma se aplica “a todos los servidores públicos, permanentes o temporales, remunerados o ad-honorem, que ejerzan su cargo por elección, nombramiento o contrato, que presten servicio en la administración pública, dentro o fuera del territorio nacional. 

Asimismo, quedan sujetos a esta Ley en lo que fuere aplicable, las demás personas que, sin ser servidores públicos, administren bienes o manejen fondos públicos. 

También están sujetos los ex servidores públicos por las transgresiones a esta Ley que hubieren cometido en el desempeño de su función pública; o por las violaciones a las prohibiciones éticas a que se refieren el artículo 7 de la presente Ley”.

Por su parte, el artículo 3 de la citada ley define como servidor público a las personas naturales que prestan temporal o permanentemente servicios dentro de la Administración Pública.
Ahora bien, en el caso particular mediante Decreto Legislativo N.º 762 del dieciséis de junio de dos mil once, publicado en el Diario Oficial N.º 115, tomo 391, del veintiuno de ese mismo mes y año la Asamblea Legislativa eligió al señor Marcos Gregorio Sánchez Trejo como Presidente de la CCR; sin embargo, el referido decreto fue declarado inconstitucional por la Sala de lo Constitucional de la Corte Suprema de Justicia mediante sentencia del veintitrés de enero del corriente año, en la cual se ordenó a la Asamblea que eligiera al nuevo Presidente y Magistrados a más tardar el día veintidós de marzo de este mismo año.

Para efectos de cumplir con el mandato de la Sala de lo Constitucional, la Asamblea Legislativa, por medio del Decreto Legislativo N.º 344 del veinte de marzo del presente año, publicado en el Diario Oficial N.º 60, tomo 399, del cuatro de abril de este mismo año, eligió nuevamente al señor Sánchez Trejo como Presidente de la CCR; no obstante, según resolución del veintiuno de marzo, la Sala de lo Constitucional tuvo por no cumplida la sentencia del veintitrés de enero y declaró que la nueva elección no producía efecto jurídico constitucional alguno, ni tampoco lo producirían los actos normativos, administrativos y jurisdiccionales que los funcionarios electos emitieran a partir de esa fecha.

Finalmente, mediante el Decreto Legislativo N.º 409 del veintisiete de junio del corriente año, la Asamblea Legislativa volvió a nombrar al señor Sánchez Trejo como Presidente de la CCR al señor Sánchez Trejo, pero la Sala de lo Constitucional en la resolución del veintiocho de junio resolvió una vez más tener por no cumplida la sentencia del veintitrés de enero y declarar que la nueva elección no produciría efectos jurídicos, ni los actos normativos, administrativos y jurisdiccionales de los funcionarios electos.

Por ello, se advierte que los hechos que se atribuyen al señor Sánchez Trejo fueron cometidos durante un período en el que no tenía la calidad de servidor público, pues no existía un vínculo legal entre su persona y la Administración Pública en virtud de la declaratoria de inconstitucionalidad de su nombramiento.

Adicionalmente, el denunciado no tenía facultades legales para emitir actos normativos, administrativos y jurisdiccionales; pues, según las resoluciones de la Sala de lo Constitucional, en caso de emitirlos no producirían efectos jurídicos.
En consecuencia, de conformidad con lo establecido en el artículo 2 de la LEG, ésta no resulta aplicable al señor Sánchez Trejo durante el período en el que ocurrieron los hechos denunciados, durante el cual no tenía la calidad de servidor público ni se encontraba facultado legalmente para administrar bienes o manejar fondos públicos.
"|Improcedente||
Anormal|2013|73-D-13|19/09/2013|Legalidad del contenido de los actos|¿Se encuentra bajo la competencia del Tribunal de Ética para revisar el resultado de los procedimientos administrativos sancionadores?|"... el día quince de febrero del corriente año le fue notificada la apertura del procedimiento administrativo sancionatorio con referencia VMT-DGTT-LAE-PR/AD-047-12-2012 por el posible incumplimiento a la obligación de prestar el servicio de transporte colectivo público de pasajeros con la unidad AB78073 como permisionario de la ruta AB021A0SS. 

Indica que el uno de marzo de este mismo año, el Director General de Transporte Terrestre revocó el permiso de la referida unidad, pues estableció que la misma no prestó el servicio de transporte público de pasajeros el día trece de diciembre de dos mil doce y estimó que sus argumentos de descargo no eran “justa causa”.

...se estima que los hechos atribuidos a los funcionarios denunciados, respecto al resultado del procedimiento administrativo sancionador VMT-DGTT-LAE-PR/AD-047-12-2012 en primera y segunda instancia no proporcionan indicios de una posible violación a un deber o prohibición ética; en particular no proveen elementos que revelen que tales funcionarios hayan aceptado o solicitado beneficios indebidos en el trámite de aquel procedimiento, tal como lo deja entrever el denunciante al relacionar en su escrito el artículo 8 de la LEG.

Así, se concluye que la petición del denunciante persigue, en puridad, que se examinen los fundamentos de las decisiones adoptadas por los funcionarios denunciados en el procedimiento señalado, para establecer si las mismas se encuentran apegadas a derecho; lo cual no corresponde a la competencia objetiva de este Tribunal."|Improcedente||
Anormal|2013|77-D-13|19/09/2013|Legalidad del contenido de los actos|¿Se encuentra bajo la competencia del Tribunal de Ética para revisar la tramitación y resultado de los procedimientos administrativos sancionadores?|"...el día doce de febrero, el Director General de Transporte Terrestre inició el proceso administrativo sancionatorio referencia VMT-DGTT-LAE-PR/AD-047-12-2012 contra trece permisionarios de la ruta AB021A0SS, el cual le fue notificado el quince de febrero, ambas fechas del presente año, atribuyéndole el posible incumplimiento a la obligación de prestar el servicio de transporte colectivo público de pasajeros con la unidad AB72028 de su propiedad, el día trece de diciembre de dos mil doce.

...indica que de quince unidades de la ruta a las que se inició proceso administrativo sancionador, solo respecto de seis unidades se ratificó la revocatoria del permiso de línea y con relación a las demás se aceptó la prueba de descargo, lo que –a su juicio– podría parecer algún tipo de represalia de parte de los funcionarios denunciados; añade que esa situación le causó a él y a sus empleados perjuicios económicos, por lo que considera que los hechos descritos constituyen una violación de los artículos 4 letras c), d), e), f), g) y h), y 8 de la Ley de Ética Gubernamental y el artículo 3 de la Constitución.

...

...el denunciante simplemente expone las razones que brindó el Director General de Transporte Terrestre para revocarle el respectivo permiso de línea de transporte público colectivo de pasajeros, y en seguida cuestiona que el Viceministro de Transporte no haya tomado en cuenta los cuadros de control que presentó como prueba de descargo, lo cual –asegura– sí valoró con relación a otros recurrentes; pero no aporta datos ni argumentos tendientes a esbozar alguna infracción ética, limitándose a relacionar una serie de preceptos.

...

Así, se concluye que la petición del denunciante persigue, en puridad, que se examinen los fundamentos de las decisiones adoptadas por los funcionarios denunciados en el procedimiento señalado, para establecer si las mismas se encuentran apegadas a derecho; lo cual no corresponde a la competencia objetiva de este Tribunal."|Improcedente||
